product_name,predicted_cat,predicted_sub_cat,Error
Red Tape BlackAndWhite Cotton Casual Shirt (Size-42),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Breakbounce Men Coral Red Sishen Striped Bear Hug Slim Fit T-shirt:Tshirts,Noble Faith Men Green & White Striped T-shirt:Tshirts,Roadster White & Black Striped T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Elle Kids Girls White & Pink Ombre Sweater:Sweaters,U.S. Polo Assn. Kids Girls Burgundy Sweater:Sweaters,United Colors of Benetton Men Brown Casual Shoes:Casual Shoes",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Sher Singh Men Peacoat and Red Pitch Striper Sweater:Sweaters,Fort Collins Men Black Track Pants:Track Pants",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Roadster Men Brown Torino Slim Fit Trousers:Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
U.S. Polo Assn. Men Multicoloured Striped Polo T-shirt:Tshirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Roadster Men Green & Beige Vettel Checked Shelby Slim Fit Casual Shirt:Shirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Reebok Men Multicoloured Chest STRP PLVR Wool Blend Sweater:Sweaters,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
SDL By Sweet Dreams Men Black Track Pants:Track Pants,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Roadster Blue & Black Vettel Slim Checked Casual Shirt:Shirts,Roadster Men Green & Navy Checked Slim Fit Casual Shirt:Shirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
RDSTR Blue Skinny Fit Jeans:Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"HRX Grey Melange Active T-shirt:Tshirts,HRX Men Grey Melange & Orange Active T-shirt:Tshirts,United Colors of Benetton Men Coral Orange & White Striped Casual Shirt:Shirts,United Colors of Benetton Men White Casual Shirt:Shirts,United Colors of Benetton Men Mustard Yellow Casual Shirt:Shirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Roadster Men Brown Torino Slim Fit Chino Trousers:Trousers,Mast & Harbour Navy Deck Chino Collection Polo T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Mast & Harbour Grey Skinny Indigo Dyed Jeans:Jeans,BLK by Mast & Harbour Navy Skinny Jeans:Jeans",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Boys Olive Green Chino Trousers:Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Jockey Women Off-White T-shirt:Tshirts,Mast & Harbour Women Multicoloured Checked Casual Shirt:Shirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Men Black Sports Casual Crew Printed Sweatshirt:Sweatshirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Mancini Men Brown Sandals:Sandals,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Black Coffee Men Charcoal Grey Slim Fit Formal Shirt:Shirts,Roadster Blue Slim Fit Jeans:Jeans",Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
"Lee Men Black T-shirt:Tshirts,Lee Men Black Printed T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"MANGO Women Grey Melange Printed T-shirt:Tshirts,United Colors of Benetton Women Orange T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Men Black Printed T-shirt:Tshirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Roadster Grey Printed T-shirt:Tshirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Roadster Green T-shirt:Tshirts,Roadster Grey Melange Polo T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
"Puma Unisex Set of 2 Green Performance Multi Sport Quarter Socks:Socks,HARVARD Men Green Campus Signature Polo T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
"Puma Men Black Sports Sweatshirt:Sweatshirts,Jack & Jones Men White Printed T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"HRX Men Green Skinny Fit Washed Corduroy Jeans:Jeans,Layerr Shot Men Absolute Rush Fragrant Body Spray:Deos",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Wrangler Men Red Printed Polo T-shirt:Tshirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Lee Men Blue Powell Fit Jeans:Jeans,United Colors of Benetton Men Navy Printed Denim Casual Shirt:Shirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
"Flying Machine Boys Chartreuse Yellow Polo T-shirt:Tshirts,Duke Boys Red Printed T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Men Blue Printed T-shirt:Tshirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Adidas Originals Women Black Duffle Bag:Duffle Bag,United Colors of Benetton Women Light Green Printed Crop Top:Tops,United Colors of Benetton Women Black T-shirt:Tshirts,SELA Women Black & White Striped Jacket:Jackets",Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Nature Casuals Blue Printed Casual Fit Shirt:Shirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Wrangler Men Black Slim Fit Casual Trousers:Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
United Colors of Benetton Men Navy Polo T-shirt:Tshirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Roadster Maroon Printed T-shirt:Tshirts,Roadster Men Blue T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"United Colors of Benetton Men Grey Melange Sweater:Sweaters,John Players Men Olive Green & Brown Hooded Sweater:Sweaters",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Blue & White Checked Casual Shirt:Shirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
"Jockey Women Maroon Lounge Capris 1300-0105-ROPTL:Capris,WROGN Men Blue Printed Polo T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Roadster Men Grey Torino Slim Fit Trousers:Trousers,Mast & Harbour Blue Skinny Jeans:Jeans",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Levis Men Brick Red 511 Slim Fit Jeans:Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
"American Eye Men Black Wool Blend Sweater:Sweaters,American Eye Men Beige Wool Blend Sweater:Sweaters",Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
"Jack & Jones Men White Casual Shirt:Shirts,Jack & Jones Men Black Self-Striped Slim Fit Casual Shirt:Shirts,Jack & Jones Men Navy & Olive Green Checked Casual Shirt:Shirts,Jack & Jones Men Yellow Slim Fit Linen Casual Shirt:Shirts,Jack & Jones Black Distressed Skinny Jeans:Jeans,Jack & Jones White Slim Casual Shirt:Shirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"RDSTR White Shelby Slim Fit Casual Shirt:Shirts,Kook N Keech Blue Washed Jeans:Jeans",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Inmark Women Pink T-shirt:Tshirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
"Roadster Women Blue & Beige Checked Casual Shirt:Shirts,ONLY White & Blue Checked Shirt:Shirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
"FILA Men Black Romar Casual Shoes:Casual Shoes,Kook N Keech Blue Jeans:Jeans",Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Levis Men Navy 511 Slim Fit Jeans:Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
"Roadster Blue & Green Checked Slim Fit Casual Shirt:Shirts,Roadster Navy & Beige Checked Slim Fit Casual Shirt:Shirts,Roadster Navy & Brown Checked Slim Fit Casual Shirt:Shirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
"Yellow Kite Baby Boys Blue Printed T-shirt:Tshirts,Fox Men Navy Checked Shorts:Shorts,Disney by Fox Boys Grey Melange Printed T-shirt:Tshirts,Kid Studio Boys White Printed T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Highlander Black & White Checked Slim Fit Casual Shirt:Shirts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
"United Colors of Benetton Men Navy & Grey Melange Striped Polo T-shirt:Tshirts,United Colors of Benetton Men White & Pink Striped Polo T-shirt:Tshirts",Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Helium Co. White Cotton Combo Of 2 Vests (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Brandtrendz Pakiza Purple 3 Fold Umbrella | Brandtrendz Pakiza Red 3 Fold Umbrella | Brandtrendz Pakiza Red 3 Fold Umbrella,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Indian Terrain Men's Striped Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
People Full Sleeve Solid Men's Sweatshirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lawman Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Reebok Solid Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Mind The Gap Solid Blue Shirt For Men (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Jockey Men's POP Brief,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Bodycare Boy's Top - Pyjama Set,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lee Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Slim Fit Men's Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Numero Uno Blue Cotton Casual Shirt (Size-M),Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
United Colors of Benetton Women's T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60) | Pidilite Fevikwik (Pack Of 60),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Fila Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Pidilite Fevikwik (Pack Of 60),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Proline Solid Men's Track Pants,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Pidilite Fevikwik (Pack Of 60),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
U.S. Polo Assn. Full Sleeve Solid Men's Sweatshirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Levi's Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Cuffle Men's Striped Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Wrangler Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Newport Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Jockey Men's Modern Classic Brief,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lee Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
IZOD Striped Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
"Levis Men Charcoal Grey Wallet:Wallets,M tv Unisex Aviator Sunglasses MTV-064-201/272:Sunglasses","Watches, Eyewear and Jewellery","Watches, Eyewear and Jewellery->Eyewear",1
Newport Straight Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Kenneth Cole Reaction Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Printed V-neck Casual Men's Sweater,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
612 Ivy League Boy's Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
BrandTrendz Multi Color Plain Polo T Shirts Set Of 4,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lee Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Tasrika Solid,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
People Printed Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Newport Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Lee Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Nautica Solid Casual Men's Sweater,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Max Printed Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lee Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Printed Boy's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Full Sleeve Solid Men's Sweatshirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
United Colors of Benetton Casual Sleeveless Solid Women's Top,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lotto Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Adidas Solid Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Combo of Park Avenue Deo  Maverick Watch   Belt  Aviator Sunglass,"Watches, Eyewear and Jewellery","Watches, Eyewear and Jewellery->Eyewear",1
Indian Terrain Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
High Star Slim Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Jockey Men's Brief,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Wear Your Mind Solid Men's Basic Shorts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Indian Terrain Solid V-neck Casual Men's Sweater,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Reebok Printed Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Freecultr Solid Men's Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Freecultr Solid Men's Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Wrangler Regular Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Levi's Regular Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Striped Boy's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Freecultr Solid Men's Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Max Printed Women's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Peter England Full Sleeve Solid Men's Jacket,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Tapered Slim Fit Fit Men's Jeans,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Super Dry Self Design Skull Cap,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
French Connection Slim Fit Men's Trousers,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
IZOD Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
French Connection Men's Solid Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Black Panther Striped Men's Track Pants,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Quiksilver Printed Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Newport Solid Men's Polo T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Lee Sleeveless Solid Men's Sweatshirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Men's Checkered Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Flying Machine Full Sleeve Solid Men's Quilted Jacket,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Gas Solid Men's Round Neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Rodid Men's Checkered Casual Denim Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Suspense Men's Solid Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Rodid Solid Men's Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Top Notch Solid Men's Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Romsons Adult Diapers (Dignity) Medium 10Pcs (Set Of 5),"Watches, Eyewear and Jewellery","Watches, Eyewear and Jewellery->Eyewear",0
Combo Of Mercury  Brown Sunglasses And 1 Pair Socks,"Watches, Eyewear and Jewellery","Watches, Eyewear and Jewellery->Eyewear",1
Rodid Men's Checkered Casual Denim Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Rodid Men's Solid Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Rodid Men's Solid Casual Denim Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Suspense Men's Solid Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Combo of Stylish black and White Watch and Aviator,"Watches, Eyewear and Jewellery","Watches, Eyewear and Jewellery->Eyewear",1
Rodid Men's Solid Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Huntsman Premium Self Design Skull Cap,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Top Notch Solid Men's V-neck T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Combo Of Mercury  Brown Sunglasses And 1 Pair Socks,"Watches, Eyewear and Jewellery","Watches, Eyewear and Jewellery->Eyewear",1
Rodid Men's Solid Casual Denim Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Top Notch Solid Men's Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Rodid Solid Men's Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Suspense Men's Solid Casual Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Rodid Solid Men's Henley T-Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Karlsburg Men's Checkered Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Cross Creek Solid Skull Cap Cap,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
BumChum Fitted - Busy Bee,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Ramani Men's Solid Formal Shirt,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Noise Walnut Brown Solid Skull Cap,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Red Tape Beige Cotton Casual Shirt (Size-44),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Red Tape Grey Linen Cotton Casual Shirt (Size-44),Apparel & Accessories,Apparel & Accessories->Men's Clothing,2
Red Tape White Linen Cotton Casual Shirt (Size-40),Apparel & Accessories,Apparel & Accessories->Men's Clothing,0
Skyways Combo Of Black And Brown Formal Belts,Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Red Tape White Linen Cotton Casual Shirt (Size-42),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Puma Navy Polyester Track Suits (Size-L),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
Koolpals White Cotton Formal Shirts (Size-40),Apparel & Accessories,Apparel & Accessories->Men's Clothing,1
